,augment,batch_size,dataset,droprate,epoch,epochs,layers,lr,momentum,name,nesterov,num_workers,print_freq,resume,seed,start_epoch,tensorboard,test_acc,test_loss,train_time,use_cuda,weight_decay,widen_factor
0,True,512,cifar10,0,1,20,28,0.1,0.9,WideResNet-28-10,True,2,10,,0,0,False,0.38959999976158144,1.7186224716186524,20.62739396095276,True,0.0005,1
1,True,512,cifar10,0,2,20,28,0.1,0.9,WideResNet-28-10,True,2,10,,0,0,False,0.6146000007629394,1.0535006246566772,37.74408197402954,True,0.0005,1
2,True,512,cifar10,0,3,20,28,0.1,0.9,WideResNet-28-10,True,2,10,,0,0,False,0.5536999994277955,1.2862485673904418,54.83484745025635,True,0.0005,1
3,True,512,cifar10,0,4,20,28,0.1,0.9,WideResNet-28-10,True,2,10,,0,0,False,0.7064,0.8370813090324402,71.96164011955261,True,0.0005,1
4,True,512,cifar10,0,5,20,28,0.1,0.9,WideResNet-28-10,True,2,10,,0,0,False,0.7091000000953674,0.834531430721283,89.06650376319885,True,0.0005,1
5,True,512,cifar10,0,6,20,28,0.1,0.9,WideResNet-28-10,True,2,10,,0,0,False,0.7436000002861023,0.7336984073638916,106.19026899337769,True,0.0005,1
6,True,512,cifar10,0,7,20,28,0.1,0.9,WideResNet-28-10,True,2,10,,0,0,False,0.7389000004768371,0.7721614662170411,123.21104621887207,True,0.0005,1
7,True,512,cifar10,0,8,20,28,0.1,0.9,WideResNet-28-10,True,2,10,,0,0,False,0.765200000667572,0.6831662748336792,140.32774424552917,True,0.0005,1
8,True,512,cifar10,0,9,20,28,0.1,0.9,WideResNet-28-10,True,2,10,,0,0,False,0.7398000002861023,0.7913646765708924,157.4621617794037,True,0.0005,1
9,True,512,cifar10,0,10,20,28,0.1,0.9,WideResNet-28-10,True,2,10,,0,0,False,0.7380000000953675,0.8088487393379211,174.61205196380615,True,0.0005,1
10,True,512,cifar10,0,11,20,28,0.1,0.9,WideResNet-28-10,True,2,10,,0,0,False,0.7029000004768372,0.992004663181305,191.74707126617432,True,0.0005,1
11,True,512,cifar10,0,12,20,28,0.1,0.9,WideResNet-28-10,True,2,10,,0,0,False,0.8000000005722046,0.6072013836860657,208.89195775985718,True,0.0005,1
12,True,512,cifar10,0,13,20,28,0.1,0.9,WideResNet-28-10,True,2,10,,0,0,False,0.8078,0.567415938282013,226.03662776947021,True,0.0005,1
13,True,512,cifar10,0,14,20,28,0.1,0.9,WideResNet-28-10,True,2,10,,0,0,False,0.7647000002861023,0.7189391255378723,243.18013858795166,True,0.0005,1
14,True,512,cifar10,0,15,20,28,0.1,0.9,WideResNet-28-10,True,2,10,,0,0,False,0.8049999995231628,0.578761958026886,260.2572295665741,True,0.0005,1
15,True,512,cifar10,0,16,20,28,0.1,0.9,WideResNet-28-10,True,2,10,,0,0,False,0.8220000005722046,0.5261180526733399,277.39659094810486,True,0.0005,1
16,True,512,cifar10,0,17,20,28,0.1,0.9,WideResNet-28-10,True,2,10,,0,0,False,0.7902000008583069,0.6397046956062317,294.5300221443176,True,0.0005,1
17,True,512,cifar10,0,18,20,28,0.1,0.9,WideResNet-28-10,True,2,10,,0,0,False,0.7493000002861023,0.7460278984069825,311.6684503555298,True,0.0005,1
18,True,512,cifar10,0,19,20,28,0.1,0.9,WideResNet-28-10,True,2,10,,0,0,False,0.8450000002861023,0.45544735884666443,328.8203704357147,True,0.0005,1
19,True,512,cifar10,0,20,20,28,0.1,0.9,WideResNet-28-10,True,2,10,,0,0,False,0.8198000005722046,0.5315668931007386,345.9825620651245,True,0.0005,1
