,augment,batch_size,dataset,droprate,epoch,epochs,layers,lr,momentum,name,nesterov,num_workers,print_freq,resume,seed,start_epoch,tensorboard,test_acc,test_loss,train_time,use_cuda,weight_decay,widen_factor
0,True,512,cifar10,0,1,10,10,0.1,0.9,WideResNet-28-10,True,2,10,,8,0,False,0.30009999980926516,1.8805119276046753,12.508684158325195,True,0.0005,1
1,True,512,cifar10,0,2,10,10,0.1,0.9,WideResNet-28-10,True,2,10,,8,0,False,0.3512999999523163,1.7370227224349977,23.83052134513855,True,0.0005,1
2,True,512,cifar10,0,3,10,10,0.1,0.9,WideResNet-28-10,True,2,10,,8,0,False,0.39149999980926514,1.632464541053772,35.434361696243286,True,0.0005,1
3,True,512,cifar10,0,4,10,10,0.1,0.9,WideResNet-28-10,True,2,10,,8,0,False,0.43210000033378604,1.5499918296813966,46.98995018005371,True,0.0005,1
4,True,512,cifar10,0,5,10,10,0.1,0.9,WideResNet-28-10,True,2,10,,8,0,False,0.4420999998092651,1.5063144115447997,58.29089379310608,True,0.0005,1
5,True,512,cifar10,0,6,10,10,0.1,0.9,WideResNet-28-10,True,2,10,,8,0,False,0.470199999666214,1.4488168611526488,69.80610179901123,True,0.0005,1
6,True,512,cifar10,0,7,10,10,0.1,0.9,WideResNet-28-10,True,2,10,,8,0,False,0.4812000003814697,1.407936654472351,81.35693216323853,True,0.0005,1
7,True,512,cifar10,0,8,10,10,0.1,0.9,WideResNet-28-10,True,2,10,,8,0,False,0.4912,1.3650248458862304,92.75731158256531,True,0.0005,1
8,True,512,cifar10,0,9,10,10,0.1,0.9,WideResNet-28-10,True,2,10,,8,0,False,0.5113999997138977,1.3275981252670288,104.13856315612793,True,0.0005,1
9,True,512,cifar10,0,10,10,10,0.1,0.9,WideResNet-28-10,True,2,10,,8,0,False,0.5162000002861022,1.31695107421875,115.5627772808075,True,0.0005,1
