,augment,batch_size,dataset,droprate,epoch,epochs,layers,lr,momentum,name,nesterov,num_workers,print_freq,resume,seed,start_epoch,tensorboard,test_acc,test_loss,train_time,use_cuda,weight_decay,widen_factor
0,True,512,cifar10,0,1,10,10,0.1,0.9,WideResNet-28-10,True,1,10,,3,0,False,0.30750000009536743,1.8462524059295655,20.903801679611206,True,0.0005,1
1,True,512,cifar10,0,2,10,10,0.1,0.9,WideResNet-28-10,True,1,10,,3,0,False,0.3490000000476837,1.732275284767151,40.86754560470581,True,0.0005,1
2,True,512,cifar10,0,3,10,10,0.1,0.9,WideResNet-28-10,True,1,10,,3,0,False,0.3742999999523163,1.6564137323379517,61.01017665863037,True,0.0005,1
3,True,512,cifar10,0,4,10,10,0.1,0.9,WideResNet-28-10,True,1,10,,3,0,False,0.4235,1.5638360204696655,81.09096479415894,True,0.0005,1
4,True,512,cifar10,0,5,10,10,0.1,0.9,WideResNet-28-10,True,1,10,,3,0,False,0.44939999966621397,1.479736616897583,101.1097342967987,True,0.0005,1
5,True,512,cifar10,0,6,10,10,0.1,0.9,WideResNet-28-10,True,1,10,,3,0,False,0.47790000004768374,1.4307767318725586,121.21247625350952,True,0.0005,1
6,True,512,cifar10,0,7,10,10,0.1,0.9,WideResNet-28-10,True,1,10,,3,0,False,0.4610000002861023,1.4564140926361084,141.4506390094757,True,0.0005,1
7,True,512,cifar10,0,8,10,10,0.1,0.9,WideResNet-28-10,True,1,10,,3,0,False,0.48329999980926514,1.406818627166748,161.4545660018921,True,0.0005,1
8,True,512,cifar10,0,9,10,10,0.1,0.9,WideResNet-28-10,True,1,10,,3,0,False,0.472100000333786,1.429884390449524,181.47724962234497,True,0.0005,1
9,True,512,cifar10,0,10,10,10,0.1,0.9,WideResNet-28-10,True,1,10,,3,0,False,0.539100000667572,1.2632589014053344,201.52982759475708,True,0.0005,1
