,augment,batch_size,dataset,droprate,epoch,epochs,layers,lr,momentum,name,nesterov,num_workers,print_freq,resume,seed,start_epoch,tensorboard,test_acc,test_loss,train_time,use_cuda,weight_decay,widen_factor
0,True,512,cifar10,0,1,10,10,0.1,0.9,WideResNet-28-10,True,6,10,,2,0,False,0.30769999980926516,1.864804676437378,11.196791172027588,True,0.0005,1
1,True,512,cifar10,0,2,10,10,0.1,0.9,WideResNet-28-10,True,6,10,,2,0,False,0.3785000001907349,1.6789452529907227,21.173768520355225,True,0.0005,1
2,True,512,cifar10,0,3,10,10,0.1,0.9,WideResNet-28-10,True,6,10,,2,0,False,0.40530000004768374,1.5931665977478027,31.073681116104126,True,0.0005,1
3,True,512,cifar10,0,4,10,10,0.1,0.9,WideResNet-28-10,True,6,10,,2,0,False,0.4365999997138977,1.517680248260498,41.01789045333862,True,0.0005,1
4,True,512,cifar10,0,5,10,10,0.1,0.9,WideResNet-28-10,True,6,10,,2,0,False,0.45620000009536743,1.4861408645629883,50.945945739746094,True,0.0005,1
5,True,512,cifar10,0,6,10,10,0.1,0.9,WideResNet-28-10,True,6,10,,2,0,False,0.47990000042915343,1.4151990093231201,60.79752731323242,True,0.0005,1
6,True,512,cifar10,0,7,10,10,0.1,0.9,WideResNet-28-10,True,6,10,,2,0,False,0.47950000019073485,1.402553860092163,70.584397315979,True,0.0005,1
7,True,512,cifar10,0,8,10,10,0.1,0.9,WideResNet-28-10,True,6,10,,2,0,False,0.48760000066757203,1.4170720888137818,80.46763563156128,True,0.0005,1
8,True,512,cifar10,0,9,10,10,0.1,0.9,WideResNet-28-10,True,6,10,,2,0,False,0.4809000001430511,1.4731613201141358,90.42589569091797,True,0.0005,1
9,True,512,cifar10,0,10,10,10,0.1,0.9,WideResNet-28-10,True,6,10,,2,0,False,0.5182000004768371,1.3248249076843261,100.28608417510986,True,0.0005,1
