,augment,batch_size,dataset,droprate,epoch,epochs,layers,lr,momentum,name,nesterov,num_workers,print_freq,resume,seed,start_epoch,tensorboard,test_acc,test_loss,train_time,use_cuda,weight_decay,widen_factor
0,True,512,cifar10,0,1,10,10,0.1,0.9,WideResNet-28-10,True,3,10,,6,0,False,0.2998000002384186,1.8489394123077392,11.526939630508423,True,0.0005,1
1,True,512,cifar10,0,2,10,10,0.1,0.9,WideResNet-28-10,True,3,10,,6,0,False,0.345799999666214,1.7505125007629394,21.84203577041626,True,0.0005,1
2,True,512,cifar10,0,3,10,10,0.1,0.9,WideResNet-28-10,True,3,10,,6,0,False,0.38209999976158143,1.6393821424484254,32.21108841896057,True,0.0005,1
3,True,512,cifar10,0,4,10,10,0.1,0.9,WideResNet-28-10,True,3,10,,6,0,False,0.42869999985694884,1.533646852493286,42.62005662918091,True,0.0005,1
4,True,512,cifar10,0,5,10,10,0.1,0.9,WideResNet-28-10,True,3,10,,6,0,False,0.46080000014305117,1.445990626335144,53.05121564865112,True,0.0005,1
5,True,512,cifar10,0,6,10,10,0.1,0.9,WideResNet-28-10,True,3,10,,6,0,False,0.49159999971389773,1.398896361732483,63.482861042022705,True,0.0005,1
6,True,512,cifar10,0,7,10,10,0.1,0.9,WideResNet-28-10,True,3,10,,6,0,False,0.5074000004768372,1.3342397665023804,73.8830509185791,True,0.0005,1
7,True,512,cifar10,0,8,10,10,0.1,0.9,WideResNet-28-10,True,3,10,,6,0,False,0.5181999998092651,1.3010791288375854,84.26158785820007,True,0.0005,1
8,True,512,cifar10,0,9,10,10,0.1,0.9,WideResNet-28-10,True,3,10,,6,0,False,0.49950000019073487,1.407493741416931,94.61582064628601,True,0.0005,1
9,True,512,cifar10,0,10,10,10,0.1,0.9,WideResNet-28-10,True,3,10,,6,0,False,0.514199999332428,1.312160139465332,105.01660060882568,True,0.0005,1
