,augment,batch_size,dataset,droprate,epoch,epochs,layers,lr,momentum,name,nesterov,num_workers,print_freq,resume,seed,start_epoch,tensorboard,test_acc,test_loss,train_time,use_cuda,weight_decay,widen_factor
0,True,512,cifar10,0,1,10,10,0.1,0.9,WideResNet-28-10,True,8,10,,9,0,False,0.29820000014305115,1.8710091890335083,11.900983095169067,True,0.0005,1
1,True,512,cifar10,0,2,10,10,0.1,0.9,WideResNet-28-10,True,8,10,,9,0,False,0.3672999999046326,1.7082933494567871,22.15532422065735,True,0.0005,1
2,True,512,cifar10,0,3,10,10,0.1,0.9,WideResNet-28-10,True,8,10,,9,0,False,0.38490000019073484,1.6559110973358155,32.45699882507324,True,0.0005,1
3,True,512,cifar10,0,4,10,10,0.1,0.9,WideResNet-28-10,True,8,10,,9,0,False,0.4203000002861023,1.5509706712722777,42.7831826210022,True,0.0005,1
4,True,512,cifar10,0,5,10,10,0.1,0.9,WideResNet-28-10,True,8,10,,9,0,False,0.386099999666214,1.7376578483581544,53.05064606666565,True,0.0005,1
5,True,512,cifar10,0,6,10,10,0.1,0.9,WideResNet-28-10,True,8,10,,9,0,False,0.466799999666214,1.4571692462921142,63.27862358093262,True,0.0005,1
6,True,512,cifar10,0,7,10,10,0.1,0.9,WideResNet-28-10,True,8,10,,9,0,False,0.5002000000953675,1.3681655206680299,73.44798517227173,True,0.0005,1
7,True,512,cifar10,0,8,10,10,0.1,0.9,WideResNet-28-10,True,8,10,,9,0,False,0.5079999999523163,1.3365816257476806,83.73768329620361,True,0.0005,1
8,True,512,cifar10,0,9,10,10,0.1,0.9,WideResNet-28-10,True,8,10,,9,0,False,0.5313999999046326,1.2891605819702148,94.09240579605103,True,0.0005,1
9,True,512,cifar10,0,10,10,10,0.1,0.9,WideResNet-28-10,True,8,10,,9,0,False,0.5333000005722046,1.2807287166595458,104.28792190551758,True,0.0005,1
