,augment,batch_size,dataset,droprate,epoch,epochs,layers,lr,momentum,name,nesterov,num_workers,print_freq,resume,seed,start_epoch,tensorboard,test_acc,test_loss,train_time,use_cuda,weight_decay,widen_factor
0,True,512,cifar10,0,1,10,10,0.1,0.9,WideResNet-28-10,True,3,10,,3,0,False,0.3090999997138977,1.8427749855041504,11.53092360496521,True,0.0005,1
1,True,512,cifar10,0,2,10,10,0.1,0.9,WideResNet-28-10,True,3,10,,3,0,False,0.35830000023841857,1.7164634496688842,21.982749938964844,True,0.0005,1
2,True,512,cifar10,0,3,10,10,0.1,0.9,WideResNet-28-10,True,3,10,,3,0,False,0.39120000004768374,1.626591665840149,32.26946973800659,True,0.0005,1
3,True,512,cifar10,0,4,10,10,0.1,0.9,WideResNet-28-10,True,3,10,,3,0,False,0.4264999998092651,1.5489323949813842,42.57637429237366,True,0.0005,1
4,True,512,cifar10,0,5,10,10,0.1,0.9,WideResNet-28-10,True,3,10,,3,0,False,0.4583000002861023,1.470098447036743,52.94962739944458,True,0.0005,1
5,True,512,cifar10,0,6,10,10,0.1,0.9,WideResNet-28-10,True,3,10,,3,0,False,0.46940000038146973,1.445244793510437,63.32120442390442,True,0.0005,1
6,True,512,cifar10,0,7,10,10,0.1,0.9,WideResNet-28-10,True,3,10,,3,0,False,0.4802999997138977,1.408567851638794,73.60428190231323,True,0.0005,1
7,True,512,cifar10,0,8,10,10,0.1,0.9,WideResNet-28-10,True,3,10,,3,0,False,0.4740000000476837,1.454150574874878,84.00968313217163,True,0.0005,1
8,True,512,cifar10,0,9,10,10,0.1,0.9,WideResNet-28-10,True,3,10,,3,0,False,0.4709999997615814,1.4349475009918213,94.37251496315002,True,0.0005,1
9,True,512,cifar10,0,10,10,10,0.1,0.9,WideResNet-28-10,True,3,10,,3,0,False,0.5284000007629395,1.2640611557006836,104.78564453125,True,0.0005,1
