,augment,batch_size,dataset,droprate,epoch,epochs,layers,lr,momentum,name,nesterov,num_workers,print_freq,resume,seed,start_epoch,tensorboard,test_acc,test_loss,train_time,use_cuda,weight_decay,widen_factor
0,True,512,cifar10,0,1,10,10,0.1,0.9,WideResNet-28-10,True,2,10,,1,0,False,0.2936999999046326,1.9096284044265748,12.917415142059326,True,0.0005,1
1,True,512,cifar10,0,2,10,10,0.1,0.9,WideResNet-28-10,True,2,10,,1,0,False,0.35650000004768373,1.716265984725952,24.224259614944458,True,0.0005,1
2,True,512,cifar10,0,3,10,10,0.1,0.9,WideResNet-28-10,True,2,10,,1,0,False,0.3907000002861023,1.6296730806350708,35.747939586639404,True,0.0005,1
3,True,512,cifar10,0,4,10,10,0.1,0.9,WideResNet-28-10,True,2,10,,1,0,False,0.38970000019073486,1.6444826475143433,46.952598094940186,True,0.0005,1
4,True,512,cifar10,0,5,10,10,0.1,0.9,WideResNet-28-10,True,2,10,,1,0,False,0.438499999666214,1.5057030460357665,59.024330377578735,True,0.0005,1
5,True,512,cifar10,0,6,10,10,0.1,0.9,WideResNet-28-10,True,2,10,,1,0,False,0.420500000333786,1.5791830640792848,70.60356616973877,True,0.0005,1
6,True,512,cifar10,0,7,10,10,0.1,0.9,WideResNet-28-10,True,2,10,,1,0,False,0.41990000042915343,1.573613765335083,82.14821434020996,True,0.0005,1
7,True,512,cifar10,0,8,10,10,0.1,0.9,WideResNet-28-10,True,2,10,,1,0,False,0.4995000002861023,1.374038890838623,93.55203461647034,True,0.0005,1
8,True,512,cifar10,0,9,10,10,0.1,0.9,WideResNet-28-10,True,2,10,,1,0,False,0.4881000000476837,1.4216754762649537,104.81933951377869,True,0.0005,1
9,True,512,cifar10,0,10,10,10,0.1,0.9,WideResNet-28-10,True,2,10,,1,0,False,0.5316000005722046,1.291208024406433,116.31371092796326,True,0.0005,1
