,augment,batch_size,dataset,droprate,epoch,epochs,layers,lr,momentum,name,nesterov,num_workers,print_freq,resume,seed,start_epoch,tensorboard,test_acc,test_loss,train_time,use_cuda,weight_decay,widen_factor
0,True,512,cifar10,0,1,10,10,0.1,0.9,WideResNet-28-10,True,4,10,,9,0,False,0.29690000023841856,1.8652485431671142,11.094889163970947,True,0.0005,1
1,True,512,cifar10,0,2,10,10,0.1,0.9,WideResNet-28-10,True,4,10,,9,0,False,0.3654999999523163,1.7040164962768554,20.854212999343872,True,0.0005,1
2,True,512,cifar10,0,3,10,10,0.1,0.9,WideResNet-28-10,True,4,10,,9,0,False,0.39600000028610227,1.6287763385772704,30.67626976966858,True,0.0005,1
3,True,512,cifar10,0,4,10,10,0.1,0.9,WideResNet-28-10,True,4,10,,9,0,False,0.43010000004768373,1.5389372610092162,40.379931688308716,True,0.0005,1
4,True,512,cifar10,0,5,10,10,0.1,0.9,WideResNet-28-10,True,4,10,,9,0,False,0.40310000042915345,1.6265944038391114,50.14772605895996,True,0.0005,1
5,True,512,cifar10,0,6,10,10,0.1,0.9,WideResNet-28-10,True,4,10,,9,0,False,0.48030000023841857,1.4080144525527953,59.99659204483032,True,0.0005,1
6,True,512,cifar10,0,7,10,10,0.1,0.9,WideResNet-28-10,True,4,10,,9,0,False,0.483,1.4000075975418091,69.84489178657532,True,0.0005,1
7,True,512,cifar10,0,8,10,10,0.1,0.9,WideResNet-28-10,True,4,10,,9,0,False,0.5064999997138977,1.3666947652816772,79.62161111831665,True,0.0005,1
8,True,512,cifar10,0,9,10,10,0.1,0.9,WideResNet-28-10,True,4,10,,9,0,False,0.540699999332428,1.268003529548645,89.42265844345093,True,0.0005,1
9,True,512,cifar10,0,10,10,10,0.1,0.9,WideResNet-28-10,True,4,10,,9,0,False,0.5244000001907348,1.3079218244552613,99.29073929786682,True,0.0005,1
