,augment,batch_size,dataset,droprate,epoch,epochs,layers,lr,momentum,name,nesterov,num_workers,print_freq,resume,seed,start_epoch,tensorboard,test_acc,test_loss,train_time,use_cuda,weight_decay,widen_factor
0,True,512,cifar10,0,1,20,28,0.1,0.9,WideResNet-28-10,True,4,10,,4,0,False,0.3037000000953674,1.827101205062866,18.926377058029175,True,0.0005,1
1,True,512,cifar10,0,2,20,28,0.1,0.9,WideResNet-28-10,True,4,10,,4,0,False,0.3435999999046326,1.740293995475769,29.363356113433838,True,0.0005,1
2,True,512,cifar10,0,3,20,28,0.1,0.9,WideResNet-28-10,True,4,10,,4,0,False,0.36770000014305115,1.6818231838226319,39.597312688827515,True,0.0005,1
3,True,512,cifar10,0,4,20,28,0.1,0.9,WideResNet-28-10,True,4,10,,4,0,False,0.45520000009536743,1.4724529893875122,50.018434047698975,True,0.0005,1
4,True,512,cifar10,0,5,20,28,0.1,0.9,WideResNet-28-10,True,4,10,,4,0,False,0.489299999666214,1.3819609621047975,60.33436703681946,True,0.0005,1
5,True,512,cifar10,0,6,20,28,0.1,0.9,WideResNet-28-10,True,4,10,,4,0,False,0.5033000005722046,1.3387883478164673,70.70539402961731,True,0.0005,1
6,True,512,cifar10,0,7,20,28,0.1,0.9,WideResNet-28-10,True,4,10,,4,0,False,0.5121,1.3435687017440796,81.0516471862793,True,0.0005,1
7,True,512,cifar10,0,8,20,28,0.1,0.9,WideResNet-28-10,True,4,10,,4,0,False,0.5410000007629394,1.237757986831665,91.36603021621704,True,0.0005,1
8,True,512,cifar10,0,9,20,28,0.1,0.9,WideResNet-28-10,True,4,10,,4,0,False,0.5218000008583069,1.2853224643707275,101.64687728881836,True,0.0005,1
9,True,512,cifar10,0,10,20,28,0.1,0.9,WideResNet-28-10,True,4,10,,4,0,False,0.5595000008583069,1.243785673522949,111.92794704437256,True,0.0005,1
10,True,512,cifar10,0,11,20,28,0.1,0.9,WideResNet-28-10,True,4,10,,4,0,False,0.598600000667572,1.1467098247528076,122.20619320869446,True,0.0005,1
11,True,512,cifar10,0,12,20,28,0.1,0.9,WideResNet-28-10,True,4,10,,4,0,False,0.6065000007629394,1.1139011070251466,132.64013051986694,True,0.0005,1
12,True,512,cifar10,0,13,20,28,0.1,0.9,WideResNet-28-10,True,4,10,,4,0,False,0.6268,1.0735343879699708,142.88947248458862,True,0.0005,1
13,True,512,cifar10,0,14,20,28,0.1,0.9,WideResNet-28-10,True,4,10,,4,0,False,0.6145999998092652,1.0599169338226317,153.21989059448242,True,0.0005,1
14,True,512,cifar10,0,15,20,28,0.1,0.9,WideResNet-28-10,True,4,10,,4,0,False,0.6725999994277954,0.9196544919967652,163.69240641593933,True,0.0005,1
15,True,512,cifar10,0,16,20,28,0.1,0.9,WideResNet-28-10,True,4,10,,4,0,False,0.6551000001907349,0.9777872543334961,174.14158010482788,True,0.0005,1
16,True,512,cifar10,0,17,20,28,0.1,0.9,WideResNet-28-10,True,4,10,,4,0,False,0.6878999998092651,0.873552130317688,184.36696481704712,True,0.0005,1
17,True,512,cifar10,0,18,20,28,0.1,0.9,WideResNet-28-10,True,4,10,,4,0,False,0.7035999999046326,0.8454984534263611,194.58874559402466,True,0.0005,1
18,True,512,cifar10,0,19,20,28,0.1,0.9,WideResNet-28-10,True,4,10,,4,0,False,0.6751,0.9104593571662902,204.84028244018555,True,0.0005,1
19,True,512,cifar10,0,20,20,28,0.1,0.9,WideResNet-28-10,True,4,10,,4,0,False,0.6640999997138977,0.9797807468414307,215.1063575744629,True,0.0005,1
