,augment,batch_size,dataset,droprate,epoch,epochs,layers,lr,momentum,name,nesterov,num_workers,print_freq,resume,seed,start_epoch,tensorboard,test_acc,test_loss,train_time,use_cuda,weight_decay,widen_factor
0,True,512,cifar10,0,1,20,28,0.1,0.9,WideResNet-28-10,True,8,10,,0,0,False,0.2905000002384186,1.8369297006607055,29.654179096221924,True,0.0005,1
1,True,512,cifar10,0,2,20,28,0.1,0.9,WideResNet-28-10,True,8,10,,0,0,False,0.35590000009536743,1.687038424873352,41.04105854034424,True,0.0005,1
2,True,512,cifar10,0,3,20,28,0.1,0.9,WideResNet-28-10,True,8,10,,0,0,False,0.39320000023841856,1.591665487098694,52.11418700218201,True,0.0005,1
3,True,512,cifar10,0,4,20,28,0.1,0.9,WideResNet-28-10,True,8,10,,0,0,False,0.4454999998569488,1.4672398473739623,63.19057774543762,True,0.0005,1
4,True,512,cifar10,0,5,20,28,0.1,0.9,WideResNet-28-10,True,8,10,,0,0,False,0.4600999997138977,1.42800300655365,74.1771011352539,True,0.0005,1
5,True,512,cifar10,0,6,20,28,0.1,0.9,WideResNet-28-10,True,8,10,,0,0,False,0.5059999999046325,1.350815476989746,85.37501573562622,True,0.0005,1
6,True,512,cifar10,0,7,20,28,0.1,0.9,WideResNet-28-10,True,8,10,,0,0,False,0.5546000007629395,1.2143990383148193,96.56894421577454,True,0.0005,1
7,True,512,cifar10,0,8,20,28,0.1,0.9,WideResNet-28-10,True,8,10,,0,0,False,0.5699999995231628,1.1915699779510498,107.58824133872986,True,0.0005,1
8,True,512,cifar10,0,9,20,28,0.1,0.9,WideResNet-28-10,True,8,10,,0,0,False,0.5990999995231628,1.108940153312683,118.45754671096802,True,0.0005,1
9,True,512,cifar10,0,10,20,28,0.1,0.9,WideResNet-28-10,True,8,10,,0,0,False,0.6012,1.1097076873779297,129.58537340164185,True,0.0005,1
10,True,512,cifar10,0,11,20,28,0.1,0.9,WideResNet-28-10,True,8,10,,0,0,False,0.6034000001907348,1.1319139211654663,140.64789819717407,True,0.0005,1
11,True,512,cifar10,0,12,20,28,0.1,0.9,WideResNet-28-10,True,8,10,,0,0,False,0.6147999999046325,1.067594758605957,151.68429517745972,True,0.0005,1
12,True,512,cifar10,0,13,20,28,0.1,0.9,WideResNet-28-10,True,8,10,,0,0,False,0.6513000003814697,0.9704849879264832,162.6414132118225,True,0.0005,1
13,True,512,cifar10,0,14,20,28,0.1,0.9,WideResNet-28-10,True,8,10,,0,0,False,0.6560000008583069,0.9568636043548584,173.97809052467346,True,0.0005,1
14,True,512,cifar10,0,15,20,28,0.1,0.9,WideResNet-28-10,True,8,10,,0,0,False,0.6464999998092651,1.01111364402771,185.03685903549194,True,0.0005,1
15,True,512,cifar10,0,16,20,28,0.1,0.9,WideResNet-28-10,True,8,10,,0,0,False,0.6405000000953674,1.0544351907730103,195.97874760627747,True,0.0005,1
16,True,512,cifar10,0,17,20,28,0.1,0.9,WideResNet-28-10,True,8,10,,0,0,False,0.649300000667572,0.994780169391632,206.90005040168762,True,0.0005,1
17,True,512,cifar10,0,18,20,28,0.1,0.9,WideResNet-28-10,True,8,10,,0,0,False,0.674000000667572,0.9259136904716492,217.78195190429688,True,0.0005,1
18,True,512,cifar10,0,19,20,28,0.1,0.9,WideResNet-28-10,True,8,10,,0,0,False,0.6870000003814697,0.8928012183189392,228.73777961730957,True,0.0005,1
19,True,512,cifar10,0,20,20,28,0.1,0.9,WideResNet-28-10,True,8,10,,0,0,False,0.6882999997138977,0.8758749563217163,239.69636964797974,True,0.0005,1
