,augment,batch_size,dataset,droprate,epoch,epochs,layers,lr,momentum,name,nesterov,num_workers,print_freq,resume,seed,start_epoch,tensorboard,test_acc,test_loss,train_time,use_cuda,weight_decay,widen_factor
0,True,512,cifar10,0,1,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.28999999980926516,1.8370030374526978,18.729077339172363,True,0.0005,1
1,True,512,cifar10,0,2,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.3665,1.6786980741500854,31.661978244781494,True,0.0005,1
2,True,512,cifar10,0,3,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.40690000038146973,1.5626538457870482,44.42306923866272,True,0.0005,1
3,True,512,cifar10,0,4,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.42639999980926513,1.511997759437561,57.1740026473999,True,0.0005,1
4,True,512,cifar10,0,5,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.41940000019073487,1.5714043869018555,69.91529202461243,True,0.0005,1
5,True,512,cifar10,0,6,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.4933000003814697,1.3778397619247436,82.76533079147339,True,0.0005,1
6,True,512,cifar10,0,7,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.5088999998092651,1.3221896621704101,95.61239552497864,True,0.0005,1
7,True,512,cifar10,0,8,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.5483999994277954,1.2285484979629517,108.51650714874268,True,0.0005,1
8,True,512,cifar10,0,9,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.588099999332428,1.1279261625289918,121.39859676361084,True,0.0005,1
9,True,512,cifar10,0,10,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.602,1.128512852859497,134.1198160648346,True,0.0005,1
10,True,512,cifar10,0,11,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.6233000002861023,1.0380459316253663,146.99105882644653,True,0.0005,1
11,True,512,cifar10,0,12,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.6471000005722046,1.0030663009643555,159.75859332084656,True,0.0005,1
12,True,512,cifar10,0,13,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.6467999998092652,0.9909336431503296,172.66303133964539,True,0.0005,1
13,True,512,cifar10,0,14,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.6444000005722046,1.0110115064620973,185.52716994285583,True,0.0005,1
14,True,512,cifar10,0,15,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.6807000001907348,0.898881021118164,198.4088888168335,True,0.0005,1
15,True,512,cifar10,0,16,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.6769999999046326,0.9345848847389221,211.4874095916748,True,0.0005,1
16,True,512,cifar10,0,17,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.6590999998092651,0.9742459312438965,224.38291549682617,True,0.0005,1
17,True,512,cifar10,0,18,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.6727999999046326,0.9519341973304749,237.27923250198364,True,0.0005,1
18,True,512,cifar10,0,19,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.6790000003814697,0.9381020710945129,250.06523656845093,True,0.0005,1
19,True,512,cifar10,0,20,20,28,0.1,0.9,WideResNet-28-10,True,3,10,,0,0,False,0.6591,0.9952710733413697,262.86070704460144,True,0.0005,1
